"ID","host_id","price_dollars","latitude","longitude","dist_stephansdom_km","dist_schonbrunn_km","dist_train_station_km","neighbourhood","room_type","accomodates","bathrooms","beds","cleaning_service","air_conditioning","self_checkin","host_acceptance_rate","host_listings_count","number_of_reviews","apt_age_days","review_scores_rating","reviews_per_month"
19183,559659279,76,48.1774804896953,16.3818275231257,3.46,5.8,1.06,"Favoriten","Entire home/apt",2,1,1,"0","0","1",1,1,13,185,4.69,2.11
37854,521999221,88,48.233806110506,16.3730624690652,2.86,7.23,5.4,"Brigittenau","Entire home/apt",2,1,1,"1","0","1",1,15,15,221,4.47,2.04
32038,152433712,96,48.1833952,16.3772321,2.76,5.37,0.34,"Favoriten","Private room",2,1,1,"0","0","1",1,26,1,33,5,0.91
81515,152433712,96,48.1833952,16.3772321,2.76,5.37,0.34,"Favoriten","Private room",2,1,1,"0","0","1",1,26,2,132,5,0.45
79302,511683644,125,48.20244,16.31089,4.69,1.75,5.03,"Penzing","Entire home/apt",6,1,3,"0","0","1",1,1,6,166,4.83,1.08
87179,15935294,239,48.2036769367888,16.397553819,1.84,7.1,2.71,"Landstraße","Entire home/apt",2,2,2,"0","0","0",1,124,2,40,4.5,1.5
27816,190116430,58,48.2195325446497,16.4003284648061,2.35,7.93,4.29,"Leopoldstadt","Entire home/apt",2,1,2,"0","0","1",1,4,31,171,4.52,5.44
14274,78502797,99,48.17829,16.41334,4.43,8.09,3.04,"Simmering","Entire home/apt",6,1,1,"0","0","1",0.95,2,8,234,4.63,1.03
66941,556600400,134,48.2051225607696,16.3686477549934,0.49,5.12,2.24,"Innere Stadt","Entire home/apt",2,1,1,"0","1","1",0.97,4,3,28,2,3
17737,556600400,92,48.2054556740699,16.3669878527889,0.57,5.02,2.3,"Innere Stadt","Entire home/apt",2,1,1,"0","1","1",0.97,4,2,205,1,0.29
96334,556600400,140,48.2051092993275,16.3680882906121,0.53,5.08,2.24,"Innere Stadt","Entire home/apt",2,1,1,"0","1","1",0.97,4,2,115,1,0.52
54059,549397991,105,48.1882897962636,16.3260983824987,4.15,1.57,3.54,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,4,"0","0","1",0.77,4,4,66,4.5,1.82
76784,547677118,109,48.1918600197576,16.3654715082178,1.9,4.51,0.95,"Wieden","Entire home/apt",2,1,1,"0","0","1",0.99,124,48,221,4.71,6.52
94793,222345303,130,48.21318,16.33472,2.94,3.63,4.24,"Ottakring","Entire home/apt",8,1,4,"0","0","1",1,146,34,214,4.59,4.77
10443,152433712,102,48.1833952,16.3772321,2.76,5.37,0.34,"Favoriten","Private room",2,1,1,"0","0","1",1,26,2,200,4.5,0.3
81576,559939792,51,48.2056018071692,16.3414161790473,2.4,3.39,3.29,"Neubau","Private room",3,1,1,"0","0","1",0.97,9,5,193,4,0.78
55884,559939792,48,48.20357,16.34119,2.46,3.24,3.15,"Neubau","Private room",3,1,1,"0","0","1",0.97,9,6,187,4,0.96
82960,559939792,136,48.1823761561754,16.3405526905048,3.77,2.69,2.47,"Meidling","Entire home/apt",6,1,3,"0","0","1",0.97,9,6,217,3.33,0.83
65576,104081593,99,48.241356034896,16.3514233200989,4.05,6.93,6.45,"Döbling","Entire home/apt",4,2,2,"0","0","0",1,1,2,31,5,2
29622,189895939,99,48.2236184,16.4005343,2.64,8.15,4.71,"Leopoldstadt","Entire home/apt",6,2,3,"1","1","1",1,11,59,214,4.68,8.27
47959,559813729,146,48.2118981682848,16.3675890441803,0.62,5.39,2.99,"Innere Stadt","Entire home/apt",3,1,0,"0","0","0",0.99,1,37,221,4.95,5.02
40427,547677118,277,48.2339843598147,16.3154411991966,5.18,5.25,6.92,"Währing","Entire home/apt",6,2,4,"0","0","1",0.99,124,30,207,4.77,4.35
74287,560447677,67,48.1870094288199,16.3283898375779,4.09,1.74,3.36,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,2,"1","0","1",1,26,21,159,4.81,3.96
61670,559939792,142,48.1821752516956,16.3415221948178,3.74,2.77,2.41,"Meidling","Entire home/apt",6,1,3,"0","0","1",0.97,9,2,197,4,0.3
91046,425427438,100,48.19138,16.40107,2.75,7.14,2.14,"Landstraße","Entire home/apt",3,1,1,"0","0","0",0.75,1,6,145,5,1.24
20090,557060014,60,48.1737292215286,16.4185827276995,5.07,8.56,3.57,"Simmering","Private room",3,1,2,"0","0","1",1,13,32,214,4.69,4.49
97892,43840934,150,48.1760753,16.4252742,5.23,9,3.96,"Simmering","Entire home/apt",4,1,0,"1","1","1",0.8,1,5,165,4.4,0.91
97795,146020503,64,48.1829516591033,16.3415633414992,3.67,2.75,2.39,"Meidling","Entire home/apt",4,1,2,"0","0","1",1,18,11,175,4.27,1.89
70642,23537323,249,48.2262661,16.3869983,2.25,7.47,4.67,"Leopoldstadt","Entire home/apt",12,2,7,"0","0","1",0.97,6,4,159,4.25,0.75
94232,391685367,32,48.23842,16.36768,3.4,7.35,5.93,"Brigittenau","Entire home/apt",6,1,3,"0","0","1",1,18,50,202,4.66,7.43
56864,559939792,120,48.1801319847418,16.3418422643563,3.9,2.84,2.43,"Meidling","Entire home/apt",6,1,3,"0","0","1",0.97,9,4,189,3.5,0.63
75698,559939792,180,48.1822255687335,16.3416435125034,3.73,2.77,2.4,"Meidling","Entire home/apt",10,1,5,"0","0","1",0.97,9,2,162,3.5,0.37
28695,88128342,83,48.1953666757566,16.389039636717,1.82,6.3,1.6,"Landstraße","Entire home/apt",3,1,2,"0","0","1",1,120,1,165,5,0.18
61187,559280277,73,48.1879032,16.333636,3.72,2.13,2.98,"Rudolfsheim-Fünfhaus","Entire home/apt",2,1,2,"1","0","1",1,3,28,186,4.89,4.52
85872,559280277,79,48.1879032,16.333636,3.72,2.13,2.98,"Rudolfsheim-Fünfhaus","Entire home/apt",2,2,2,"1","0","1",1,3,34,180,5,5.67
18983,47886296,174,48.20248,16.38691,1.17,6.3,2.15,"Landstraße","Entire home/apt",4,2,2,"1","0","1",0.8,9,36,170,4.89,6.35
97741,35508371,67,48.2226612627742,16.3206279809117,4.25,4.11,5.72,"Hernals","Entire home/apt",6,2,3,"1","0","1",1,19,50,193,4.94,7.77
56753,462546700,45,48.2236907141081,16.4499263183482,5.91,11.48,7.09,"Donaustadt","Entire home/apt",2,1,1,"0","0","1",1,21,8,102,4.88,2.35
17232,563282872,47,48.2093327,16.2126695,11.93,7.27,12.23,"Penzing","Private room",2,1,0,"1","0","1",0.73,6,2,29,5,2
66579,560447677,56,48.18698,16.329,4.06,1.78,3.31,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,2,"1","0","1",1,26,17,166,4.59,3.07
98735,511689935,46,48.18432,16.35853,2.87,3.98,1.13,"Margareten","Private room",2,1,1,"0","0","1",1,94,1,200,5,0.15
12422,207485285,158,48.196864,16.3287442,3.55,2.06,3.57,"Rudolfsheim-Fünfhaus","Entire home/apt",8,2,5,"0","0","0",1,4,6,164,4.83,1.1
51166,519267399,49,48.1798820354332,16.386415512854,3.28,6.09,1.12,"Favoriten","Entire home/apt",2,1,2,"0","0","1",0.97,1,15,207,4.6,2.17
54966,33016238,90,48.20594,16.32827,3.37,2.7,4.07,"Ottakring","Entire home/apt",6,1,2,"0","0","0",0.93,1,4,165,3.75,0.73
45365,483250137,135,48.2221234314774,16.3364799282564,3.16,4.53,4.94,"Hernals","Entire home/apt",3,1,2,"1","1","1",0.79,9,2,125,3.5,0.48
80310,432493088,120,48.21776,16.38258,1.26,6.68,3.67,"Leopoldstadt","Entire home/apt",4,2,2,"0","1","1",1,8,35,193,4.49,5.44
38469,42477948,90,48.18162,16.37906,2.97,5.53,0.57,"Favoriten","Entire home/apt",4,2,2,"0","0","0",0.49,3,2,197,4.5,0.3
71978,561156398,100,48.1883104,16.3470032,2.95,3.12,2,"Margareten","Entire home/apt",4,1,2,"0","0","1",0.86,1,8,199,5,1.21
97199,60078418,100,48.2398332,16.4316788,5.56,11.06,7.44,"Donaustadt","Entire home/apt",3,2,2,"0","0","1",0.99,22,8,165,4.88,1.45
37491,433247790,84,48.1872689826505,16.3740602920654,2.31,5.12,0.22,"Wieden","Entire home/apt",4,2,2,"0","0","1",1,1,24,179,4.83,4.02
63608,3000444,200,48.2136347445753,16.3535863650818,1.61,4.65,3.49,"Josefstadt","Entire home/apt",5,1,5,"0","0","1",0.63,2,1,165,5,0.18
84936,519940148,186,48.2100128440859,16.4181424123502,3.31,8.76,4.3,"Leopoldstadt","Entire home/apt",3,2,2,"0","1","1",1,4,10,178,4.9,1.69
16852,511136981,105,48.17773,16.33538,4.41,2.49,2.96,"Meidling","Entire home/apt",4,2,2,"0","0","1",0.99,2,23,166,4.96,4.16
43257,156404033,68,48.1738921910886,16.3738590986944,3.8,5.32,1.26,"Favoriten","Entire home/apt",2,1,1,"0","1","1",1,113,7,54,5,3.89
51376,511347706,43,48.1790687370863,16.368413195014,3.25,4.79,0.79,"Favoriten","Private room",1,1,1,"0","0","0",0.9,5,6,146,4.83,1.23
34417,511347706,38,48.1790016679269,16.3683826848865,3.26,4.79,0.8,"Favoriten","Private room",1,1,1,"0","1","0",0.9,5,4,169,4,0.71
36388,513570016,71,48.2222529,16.3429048,2.77,4.8,4.7,"Währing","Entire home/apt",5,2,3,"0","0","1",0.99,6,9,207,4.22,1.3
66053,547524248,90,48.1745436,16.3838286,3.81,6.01,1.41,"Favoriten","Private room",4,1,2,"0","0","1",1,4,3,136,4,0.66
75947,156404033,23,48.18441,16.36118,2.79,4.18,0.93,"Margareten","Entire home/apt",3,1,2,"0","0","1",1,113,2,44,4,1.36
46024,347011505,94,48.2045341996053,16.4012036549454,2.08,7.39,2.96,"Leopoldstadt","Entire home/apt",5,2,4,"0","0","0",1,3,37,207,4.62,5.36
25538,106634851,103,48.2092607243393,16.3950842499744,1.6,7.11,3.11,"Landstraße","Entire home/apt",3,1,2,"0","1","0",1,60,31,202,4.9,4.6
45603,418920312,129,48.2316964,16.3562771,2.92,6.24,5.32,"Alsergrund","Entire home/apt",6,3,3,"0","0","1",0.91,2,14,123,4.79,3.41
87599,349796308,75,48.22276,16.4004,2.57,8.1,4.62,"Leopoldstadt","Entire home/apt",2,1,1,"0","0","0",0.64,2,28,186,4.54,4.52
58937,300246929,140,48.21751,16.39775,2.07,7.65,4.01,"Leopoldstadt","Entire home/apt",6,2,2,"1","0","1",0.98,33,15,195,4.8,2.31
91003,68223199,99,48.205409,16.3446102,2.17,3.56,3.11,"Neubau","Entire home/apt",2,1,1,"0","0","0",1,1,34,166,4.91,6.14
35900,555660931,58,48.1712984,16.4173502,5.22,8.52,3.59,"Simmering","Entire home/apt",3,1,2,"0","0","0",0.99,399,2,165,4,0.36
65297,530403818,151,48.2067154026196,16.3897645883606,1.21,6.65,2.67,"Landstraße","Entire home/apt",6,2,3,"1","0","1",0.99,7,30,193,4.77,4.66
80963,530403818,152,48.2067297029779,16.3897645883606,1.21,6.65,2.67,"Landstraße","Entire home/apt",6,2,3,"1","0","1",0.99,7,27,196,4.7,4.13
95945,238326400,55,48.2191347,16.405225,2.64,8.23,4.43,"Leopoldstadt","Entire home/apt",3,1,2,"0","0","1",0.87,4,3,117,5,0.77
58634,485923349,63,48.13803,16.3947,7.94,8.62,5.48,"Favoriten","Entire home/apt",4,1,4,"0","0","0",0.91,1,9,166,5,1.63
24281,179123494,127,48.22948,16.37881,2.41,7.21,4.93,"Brigittenau","Entire home/apt",4,1,2,"0","0","1",1,1,6,164,5,1.1
32712,513570016,74,48.2222529,16.3429048,2.77,4.8,4.7,"Währing","Entire home/apt",6,2,3,"0","0","1",0.99,6,3,206,4.33,0.44
92690,88128342,43,48.20674,16.33034,3.21,2.87,4,"Ottakring","Private room",2,1,1,"0","0","1",1,120,34,199,4.26,5.13
14176,311151517,81,48.19684,16.34688,2.34,3.28,2.36,"Mariahilf","Private room",4,1,2,"0","0","1",1,23,4,140,4,0.86
17892,561383379,67,48.2139379,16.3352134,2.92,3.72,4.27,"Ottakring","Entire home/apt",4,1,2,"0","0","1",1,1,6,43,5,4.19
77615,311151517,82,48.1959104606144,16.3446851719697,2.54,3.1,2.45,"Mariahilf","Private room",4,1,2,"0","0","1",1,23,3,180,3.67,0.5
30162,39640335,105,48.2162288,16.3627096,1.21,5.36,3.54,"Alsergrund","Entire home/apt",2,1,1,"0","0","0",0.43,1,7,144,4.86,1.46
53765,59297304,138,48.1923283,16.3346147,3.38,2.27,3,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,2,"0","0","0",1,3,3,116,5,0.78
43471,560447677,52,48.19294,16.33721,3.18,2.47,2.83,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,2,"1","0","1",1,26,27,199,4.48,4.07
88607,551661125,339,48.2100868,16.3437145,2.23,3.83,3.54,"Josefstadt","Entire home/apt",6,2,4,"0","0","0",1,22,5,126,4.6,1.19
20055,560447677,45,48.19258,16.33756,3.18,2.49,2.8,"Rudolfsheim-Fünfhaus","Entire home/apt",2,1,1,"1","0","1",1,26,21,180,4.43,3.5
92929,560447677,60,48.19242,16.33593,3.29,2.37,2.91,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,2,"1","0","1",1,26,26,178,4.77,4.38
91689,560447677,47,48.1927512042328,16.3364875141132,3.24,2.41,2.88,"Rudolfsheim-Fünfhaus","Entire home/apt",2,1,1,"1","0","1",1,26,23,164,4.7,4.21
51161,560447677,51,48.1908,16.33725,3.31,2.42,2.77,"Rudolfsheim-Fünfhaus","Entire home/apt",2,1,1,"1","0","1",1,26,26,166,4.73,4.7
15763,563850236,87,48.201894,16.4003804,2.1,7.26,2.71,"Landstraße","Entire home/apt",2,2,1,"0","0","1",1,1,13,151,4.69,2.58
24025,11353032,36,48.2116861051884,16.3352944656067,2.87,3.53,4.09,"Ottakring","Entire home/apt",3,1,0,"0","0","0",0.83,1,12,165,4.92,2.18
94277,563874905,110,48.1848965,16.3836457,2.68,5.84,0.74,"Favoriten","Entire home/apt",4,2,1,"0","1","0",1,4,3,144,5,0.63
37575,536209217,46,48.2056859203548,16.3325067047666,3.06,2.89,3.8,"Ottakring","Entire home/apt",2,1,1,"1","0","1",1,1,19,170,4.68,3.35
29140,563898358,114,48.2566117,16.3913805,5.55,10.02,8.04,"Floridsdorf","Entire home/apt",3,2,2,"1","0","1",1,3,15,192,4.53,2.34
75357,563955667,57,48.19666,16.30913,4.95,1.09,4.95,"Penzing","Entire home/apt",2,1,1,"1","0","0",0.85,1,27,179,4.67,4.53
66088,21901151,85,48.1652782,16.30463,6.99,2.44,5.58,"Meidling","Entire home/apt",4,2,0,"0","1","1",1,1,39,185,5,6.32
